FID_riv1	FID_reach_	length_int
0	29461	25.54380000000
0	30235	222.17100000000
0	30236	212.76500000000
0	31010	28.07880000000
0	31011	243.19900000000
0	31012	112.96000000000
0	31786	129.03900000000
0	31787	200.00000000000
0	31788	231.49900000000
0	31789	178.58300000000
0	32563	87.93690000000
0	32564	255.69200000000
0	32565	209.34400000000
0	32566	23.55520000000
0	33340	238.23500000000
0	33341	210.50000000000
0	33342	87.59620000000
0	34116	154.40300000000
0	34117	246.34800000000
0	34118	175.77700000000
0	34892	72.15150000000
0	34893	240.84300000000
0	34894	71.24310000000
0	35668	226.44900000000
0	35669	147.28900000000
0	36443	129.40300000000
0	36444	168.28900000000
0	37218	129.40300000000
0	37219	168.28900000000
0	37993	104.05400000000
0	37994	240.84300000000
0	37995	39.34080000000
0	38769	222.50200000000
0	38770	136.38700000000
0	39544	161.30500000000
0	39545	136.38700000000
0	40319	119.43000000000
0	40320	207.96000000000
0	41094	161.30500000000
0	41095	94.64480000000
0	41869	264.24400000000
0	41870	3.49214000000
0	42644	279.35100000000
0	42645	3.49209000000
0	43419	269.91700000000
0	44193	110.82900000000
0	44194	168.28900000000
0	44968	129.40300000000
0	44969	168.28900000000
0	45743	104.05400000000
0	45744	219.84400000000
0	45745	136.38700000000
0	46519	128.67700000000
0	46520	248.12300000000
0	46521	7.43841000000
0	47295	259.93700000000
0	47296	200.00000000000
0	47297	101.74300000000
0	48071	142.91200000000
0	48072	215.97700000000
0	48846	81.71490000000
0	48847	215.97700000000
0	49621	81.71490000000
0	49622	252.15500000000
0	49623	65.21710000000
0	50397	166.28200000000
0	50398	200.00000000000
0	50399	200.00000000000
0	50400	241.99900000000
0	50401	184.32800000000
0	51175	40.58070000000
0	51176	240.84300000000
0	51177	178.86000000000
0	51951	72.48290000000
0	51952	225.20900000000
0	52726	72.48290000000
0	52727	199.86000000000
0	53501	77.54660000000
0	53502	233.19300000000
0	54276	205.37800000000
0	54277	92.31410000000
0	55051	205.37800000000
0	55052	92.31400000000
0	55826	214.91200000000
0	56600	222.38400000000
1	56600	40.60100000000
1	56601	241.99900000000
1	56602	221.82800000000
2	56600	9.11569000000
2	57373	203.61100000000
2	57374	196.63200000000
2	58146	212.24000000000
2	58147	86.60710000000
2	58919	213.39600000000
2	58920	85.45120000000
2	59692	172.55300000000
2	59693	84.29530000000
2	60466	231.49900000000
2	61239	120.22100000000
2	61240	157.62700000000
2	62013	200.00000000000
2	62787	231.49900000000
2	63560	41.34530000000
2	63561	215.50300000000
2	64334	231.49900000000
2	65108	241.99900000000
2	65881	194.00800000000
2	65882	62.84060000000
2	66655	110.91700000000
3	64339	70.64140000000
3	64340	135.80300000000
3	65112	70.64140000000
3	65113	227.05000000000
3	65884	160.69300000000
3	65885	200.00000000000
3	65886	215.83600000000
3	66655	60.13450000000
3	66656	200.00000000000
3	66657	246.34900000000
3	66658	81.30640000000
4	64292	29.01150000000
4	64293	225.34900000000
4	64294	200.00000000000
4	64295	301.39500000000
4	64296	200.00000000000
4	64297	224.52000000000
4	64298	217.47900000000
4	64299	211.70900000000
4	64300	5.14922000000
4	64323	120.93500000000
4	64324	225.34900000000
4	64325	124.94100000000
4	64326	226.84900000000
4	64327	4.15501000000
4	65063	212.03400000000
4	65064	235.84900000000
4	65065	276.04600000000
4	65066	232.18600000000
4	65074	225.14100000000
4	65075	231.49900000000
4	65076	208.24100000000
4	65077	48.89060000000
4	65096	358.58700000000
4	65097	197.11100000000
4	65099	167.75600000000
4	65101	225.84400000000
4	65102	220.18800000000
4	65103	105.14700000000
4	65831	73.89380000000
4	65832	188.10700000000
4	65833	277.99400000000
4	65834	150.92400000000
4	65835	250.69800000000
4	65836	279.47000000000
4	65837	71.08860000000
4	65851	184.86800000000
4	65852	200.00000000000
4	65853	231.49900000000
4	65854	122.75400000000
4	65868	325.52900000000
4	65869	210.50000000000
4	65870	29.35460000000
4	65877	163.01200000000
4	65878	246.57400000000
4	66601	51.21050000000
4	66604	251.33500000000
4	66605	212.65200000000
4	66606	104.58900000000
4	66607	30.29190000000
4	66608	134.88100000000
4	66628	180.44200000000
4	66629	212.96200000000
4	66630	96.57830000000
4	66639	26.92410000000
4	66640	276.04600000000
4	66641	261.19700000000
4	66642	51.91280000000
4	66652	23.80090000000
4	66653	251.34300000000
4	66654	73.24520000000
4	67375	61.29090000000
4	67376	200.00000000000
4	67377	200.00000000000
4	67378	75.40860000000
4	67404	163.95900000000
4	67405	282.19700000000
4	67406	210.50000000000
4	67407	290.53500000000
4	67408	263.35900000000
4	67409	200.00000000000
4	67410	200.00000000000
4	67411	200.00000000000
4	67412	200.00000000000
4	67413	198.42500000000
4	67427	204.50800000000
4	67428	74.09090000000
4	68201	219.93300000000
4	68202	32.56610000000
4	68976	140.28800000000
5	66655	140.83200000000
5	67428	10.78330000000
5	67429	209.06000000000
5	68202	222.90600000000
5	68976	129.78800000000
6	68976	101.71200000000
6	69750	205.12600000000
6	70523	161.84600000000
6	70524	89.87630000000
6	71297	213.31400000000
6	72071	218.18600000000
6	72845	200.00000000000
6	73619	200.00000000000
6	74393	200.00000000000
6	75167	231.49900000000
6	75941	200.00000000000
6	76715	121.84400000000
7	75151	97.68900000000
7	75152	234.05800000000
7	75153	207.94100000000
7	75154	200.00000000000
7	75155	86.32570000000
7	75929	251.34300000000
7	75932	30.18320000000
7	75933	239.25500000000
7	76703	10.96770000000
7	76704	272.60600000000
7	76705	200.00000000000
7	76706	281.71200000000
7	76707	83.13960000000
7	76708	281.66000000000
7	76709	4.81773000000
7	76713	134.60300000000
7	76714	225.34900000000
7	76715	134.28400000000
7	77483	319.91600000000
7	77484	32.82260000000
7	77485	112.04500000000
7	77486	311.89500000000
7	77487	141.44300000000
7	78258	198.67700000000
7	78259	214.69900000000
8	84016	0.23926500000
8	84789	115.46900000000
8	84790	161.22300000000
8	85561	72.59880000000
8	85562	220.31200000000
8	85563	182.22300000000
8	86334	35.36610000000
8	86335	224.62500000000
8	87108	318.04600000000
8	87882	200.00000000000
8	88656	200.00000000000
8	89430	200.00000000000
8	90203	173.10400000000
8	90204	58.39580000000
8	90977	200.00000000000
8	91751	214.76100000000
8	92524	107.48100000000
8	92525	151.25700000000
8	93298	200.00000000000
8	94072	200.00000000000
8	94846	200.00000000000
8	95620	87.42080000000
9	77554	141.13600000000
9	77555	110.11500000000
9	78329	234.84200000000
9	78330	309.82200000000
9	78331	2.16649000000
9	79105	270.17600000000
9	79106	38.01500000000
9	79880	213.36300000000
9	79881	240.80800000000
9	79882	5.51338000000
9	80656	292.17800000000
9	80657	6.11272000000
9	81431	253.08200000000
9	81432	250.69800000000
9	81433	225.68500000000
9	81434	205.81400000000
9	81435	241.99900000000
9	81436	201.71400000000
9	82210	10.00410000000
9	82211	276.63000000000
9	82212	112.45300000000
9	82986	255.36700000000
9	83760	200.00000000000
9	84534	249.21100000000
9	84535	211.59400000000
9	84536	19.64850000000
9	85310	211.85100000000
